id,name,lat,long
3194,McGinley Square,40.72533993,-74.06762213
3195,Sip Ave,40.73074263,-74.06378388
3195,Sip Ave,40.7308971,-74.06391263
3196,Riverview Park,40.7443187,-74.0439909
3197,North St,40.752559,-74.044725
3197,Hs Don't Use,40.71925171,-74.03423399
3198,Heights Elevator,40.74871595,-74.0404433
3199,Newport Pkwy,40.7287448,-74.0321082
3200,MLK Light Rail,40.7111305,-74.0788855
3201,Dey St,40.737711,-74.066921
3202,Newport PATH,40.7272235,-74.0337589
3203,Hamilton Park,40.72759597,-74.04424731
3205,JC Medical Center,40.71653978,-74.04963791
3206,Hilltop,40.7311689,-74.0575736
3207,Oakland Ave,40.7376037,-74.0524783
3209,Brunswick St,40.7241765,-74.0506564
3210,Pershing Field,40.74267714,-74.05178863
3211,Newark Ave,40.72152515,-74.04630454
3212,Christ Hospital,40.73478582,-74.05044364
3213,Van Vorst Park,40.71848892,-74.04772663
3214,Essex Light Rail,40.7127742,-74.0364857
3215,Central Ave,40.7467299,-74.0492509
3215,JSQ Don't Use,0,0
3216,Columbia Park,40.6970299,-74.0969366
3217,Bayside Park,40.69865054,-74.08207968
3220,5 Corners Library,40.73496102,-74.05950308
3224,W 13 St & Hudson St,40.73997354,-74.00513873
3225,Baldwin at Montgomery,40.7236589,-74.0641943
3233,E 48 St & 5 Ave,40.75724568,-73.97805914
3236,W 42 St & Dyer Ave,40.75898481,-73.99379969
3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574
3258,W 27 St & 10 Ave,40.75018156,-74.00218427
3267,Morris Canal,40.71241882,-74.03852552
3268,Lafayette Park,40.71346383,-74.06285852
3269,Brunswick & 6th,40.72601173,-74.05038893
3270,Jersey & 6th St,40.72528911,-74.04557168
3271,Danforth Light Rail,40.69263997,-74.08801228
3272,Jersey & 3rd,40.72333159,-74.04595256
3273,Manila & 1st,40.72165072,-74.04288411
3274,Bethune Center,40.70495752,-74.08593088
3275,Columbus Drive,40.7183552,-74.03891444
3276,Marin Light Rail,40.71458404,-74.04281706
3277,Communipaw & Berry Lane,40.71435837,-74.06661093
3278,Monmouth and 6th,40.72568548,-74.04879034
3279,Dixon Mills,40.72163014,-74.04996783
3280,Astor Place,40.7192822,-74.07126188
3281,Leonard Gordon Park,40.74590997,-74.05727148
3307,West End Ave & W 94 St,40.7941654,-73.974124
3311,Columbia St & Kane St,40.68763155,-74.0016256
3328,W 100 St & Manhattan Ave,40.795,-73.9645
3331,Riverside Dr & W 104 St,40.8013434,-73.97114574
3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567
3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104
3400,E 110 St & Madison Ave,40.7961535,-73.94782145
3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523
3426,JCBS Depot,40.70965083,-74.06860113
3428,8 Ave & W 16 St,40.740983,-74.001702
3436,Greenwich St & Hubert St,40.721319,-74.010065
3442,Indiana,0,0
3443,W 52 St & 6 Ave,40.76132983,-73.97982001
3461,Murray St & Greenwich St,40.71485151,-74.01122332
3467,W Broadway & Spring Street,40.72494672,-74.00165856
3472,W 15 St & 10 Ave,40.74275383,-74.00747359
3474,6 Ave & Spring St,40.7252557,-74.00412083
3480,WS Don't Use,0,0
3481,York St,40.71649,-74.04105
3483,Montgomery St,40.71942,-74.05099
3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461
3547,Broadway & Moylan Pl,40.8143256,-73.9590255
3552,W 113 St & Broadway,40.805973,-73.964928
3638,Washington St,40.7242941,-74.0354826
3639,Harborside,40.7192517,-74.034234
3640,Journal Square,40.73367,-74.0625
3664,North Moore St & Greenwich St,40.72019521,-74.01030064
3677,Glenwood Ave,40.72755147,-74.07106072
3678,Fairmount Ave,40.72572614,-74.07195926
3679,Bergen Ave,40.72210379,-74.071455
3681,Grand St,40.71517768,-74.03768331
3686,Gansevoort St & Hudson St,40.7394482,-74.00507033
3694,Jackson Square,40.71113,-74.0789
3709,W 15 St & 6 Ave,40.73804614,-73.99642959
3750,Forrest Tech Shop (parts testing),40.70300569,-73.93207671
3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375
3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
