date,month#,DofM,year,month,mmm-yy,week,quarter,day
4/4/2017,4,4,2017,Apr,Apr-17,14,Q2,Tue
4/5/2017,4,5,2017,Apr,Apr-17,14,Q2,Wed
4/6/2017,4,6,2017,Apr,Apr-17,14,Q2,Thu
4/7/2017,4,7,2017,Apr,Apr-17,14,Q2,Fri
4/8/2017,4,8,2017,Apr,Apr-17,14,Q2,Sat
4/9/2017,4,9,2017,Apr,Apr-17,15,Q2,Sun
4/10/2017,4,10,2017,Apr,Apr-17,15,Q2,Mon
4/11/2017,4,11,2017,Apr,Apr-17,15,Q2,Tue
4/12/2017,4,12,2017,Apr,Apr-17,15,Q2,Wed
4/13/2017,4,13,2017,Apr,Apr-17,15,Q2,Thu
4/14/2017,4,14,2017,Apr,Apr-17,15,Q2,Fri
4/15/2017,4,15,2017,Apr,Apr-17,15,Q2,Sat
4/16/2017,4,16,2017,Apr,Apr-17,16,Q2,Sun
4/17/2017,4,17,2017,Apr,Apr-17,16,Q2,Mon
4/18/2017,4,18,2017,Apr,Apr-17,16,Q2,Tue
4/19/2017,4,19,2017,Apr,Apr-17,16,Q2,Wed
4/20/2017,4,20,2017,Apr,Apr-17,16,Q2,Thu
4/21/2017,4,21,2017,Apr,Apr-17,16,Q2,Fri
4/22/2017,4,22,2017,Apr,Apr-17,16,Q2,Sat
4/23/2017,4,23,2017,Apr,Apr-17,17,Q2,Sun
4/24/2017,4,24,2017,Apr,Apr-17,17,Q2,Mon
4/25/2017,4,25,2017,Apr,Apr-17,17,Q2,Tue
4/26/2017,4,26,2017,Apr,Apr-17,17,Q2,Wed
4/27/2017,4,27,2017,Apr,Apr-17,17,Q2,Thu
4/28/2017,4,28,2017,Apr,Apr-17,17,Q2,Fri
4/29/2017,4,29,2017,Apr,Apr-17,17,Q2,Sat
4/30/2017,4,30,2017,Apr,Apr-17,18,Q2,Sun
5/1/2017,5,1,2017,May,May-17,18,Q2,Mon
5/2/2017,5,2,2017,May,May-17,18,Q2,Tue
5/3/2017,5,3,2017,May,May-17,18,Q2,Wed
5/4/2017,5,4,2017,May,May-17,18,Q2,Thu
5/5/2017,5,5,2017,May,May-17,18,Q2,Fri
5/6/2017,5,6,2017,May,May-17,18,Q2,Sat
5/7/2017,5,7,2017,May,May-17,19,Q2,Sun
5/8/2017,5,8,2017,May,May-17,19,Q2,Mon
5/9/2017,5,9,2017,May,May-17,19,Q2,Tue
5/10/2017,5,10,2017,May,May-17,19,Q2,Wed
5/11/2017,5,11,2017,May,May-17,19,Q2,Thu
5/12/2017,5,12,2017,May,May-17,19,Q2,Fri
5/13/2017,5,13,2017,May,May-17,19,Q2,Sat
5/14/2017,5,14,2017,May,May-17,20,Q2,Sun
5/15/2017,5,15,2017,May,May-17,20,Q2,Mon
5/16/2017,5,16,2017,May,May-17,20,Q2,Tue
5/17/2017,5,17,2017,May,May-17,20,Q2,Wed
5/18/2017,5,18,2017,May,May-17,20,Q2,Thu
5/19/2017,5,19,2017,May,May-17,20,Q2,Fri
5/20/2017,5,20,2017,May,May-17,20,Q2,Sat
5/21/2017,5,21,2017,May,May-17,21,Q2,Sun
5/22/2017,5,22,2017,May,May-17,21,Q2,Mon
5/23/2017,5,23,2017,May,May-17,21,Q2,Tue
5/24/2017,5,24,2017,May,May-17,21,Q2,Wed
5/25/2017,5,25,2017,May,May-17,21,Q2,Thu
5/26/2017,5,26,2017,May,May-17,21,Q2,Fri
5/27/2017,5,27,2017,May,May-17,21,Q2,Sat
5/28/2017,5,28,2017,May,May-17,22,Q2,Sun
5/29/2017,5,29,2017,May,May-17,22,Q2,Mon
5/30/2017,5,30,2017,May,May-17,22,Q2,Tue
5/31/2017,5,31,2017,May,May-17,22,Q2,Wed
6/1/2017,6,1,2017,Jun,Jun-17,22,Q2,Thu
6/2/2017,6,2,2017,Jun,Jun-17,22,Q2,Fri
6/3/2017,6,3,2017,Jun,Jun-17,22,Q2,Sat
6/4/2017,6,4,2017,Jun,Jun-17,23,Q2,Sun
6/5/2017,6,5,2017,Jun,Jun-17,23,Q2,Mon
6/6/2017,6,6,2017,Jun,Jun-17,23,Q2,Tue
6/7/2017,6,7,2017,Jun,Jun-17,23,Q2,Wed
6/8/2017,6,8,2017,Jun,Jun-17,23,Q2,Thu
6/9/2017,6,9,2017,Jun,Jun-17,23,Q2,Fri
6/10/2017,6,10,2017,Jun,Jun-17,23,Q2,Sat
6/11/2017,6,11,2017,Jun,Jun-17,24,Q2,Sun
6/12/2017,6,12,2017,Jun,Jun-17,24,Q2,Mon
6/13/2017,6,13,2017,Jun,Jun-17,24,Q2,Tue
6/14/2017,6,14,2017,Jun,Jun-17,24,Q2,Wed
6/15/2017,6,15,2017,Jun,Jun-17,24,Q2,Thu
6/16/2017,6,16,2017,Jun,Jun-17,24,Q2,Fri
6/17/2017,6,17,2017,Jun,Jun-17,24,Q2,Sat
