id,external_id,name,latitude,longitude
121,3258,W 27 St & 10 Ave,40.750182,-74.002184
122,525,W 34 St & 11 Ave,40.755942,-74.002116
123,309,Murray St & West St,40.714979,-74.013012
124,3271,Danforth Light Rail,40.692640,-74.088012
125,439,E 4 St & 2 Ave,40.726281,-73.989780
126,3197,North St,40.752559,-74.044725
127,523,W 38 St & 8 Ave,40.754666,-73.991382
128,3428,8 Ave & W 16 St,40.740983,-74.001702
129,478,11 Ave & W 41 St,40.760301,-73.998842
130,3236,W 42 St & Dyer Ave,40.758985,-73.993800
131,377,6 Ave & Canal St,40.722438,-74.005664
132,353,S Portland Ave & Hanson Pl,40.685396,-73.974315
133,453,W 22 St & 8 Ave,40.744751,-73.999154
134,128,MacDougal St & Prince St,40.727103,-74.002971
135,3467,W Broadway & Spring Street,40.724947,-74.001659
136,517,Pershing Square South,40.751581,-73.977910
137,3205,JC Medical Center,40.716540,-74.049638
138,459,W 20 St & 11 Ave,40.746745,-74.007756
139,3686,Gansevoort St & Hudson St,40.739448,-74.005070
140,3209,Brunswick St,40.724177,-74.050656
141,3167,Amsterdam Ave & W 73 St,40.779668,-73.980930
142,3307,West End Ave & W 94 St,40.794165,-73.974124
143,3184,Paulus Hook,40.714145,-74.033552
144,3194,McGinley Square,40.725340,-74.067622
145,3481,York St,40.716490,-74.041050
146,315,South St & Gouverneur Ln,40.703554,-74.006702
147,3274,Bethune Center,40.704958,-74.085931
148,3163,Central Park West & W 68 St,40.773407,-73.977825
149,238,Bank St & Washington St,40.736197,-74.008592
150,3170,W 84 St & Columbus Ave,40.785000,-73.972834
151,295,Pike St & E Broadway,40.714067,-73.992939
152,533,Broadway & W 38 St,40.752996,-73.987216
153,157,Henry St & Atlantic Ave,40.690893,-73.996123
154,3664,North Moore St & Greenwich St,40.720195,-74.010301
155,3187,Warren St,40.721124,-74.038051
156,284,Greenwich Ave & 8 Ave,40.739017,-74.002638
157,435,W 21 St & 6 Ave,40.741740,-73.994156
158,423,W 54 St & 9 Ave,40.765849,-73.986905
159,515,W 43 St & 10 Ave,40.760094,-73.994618
160,3328,W 100 St & Manhattan Ave,40.795000,-73.964500
161,146,Hudson St & Reade St,40.716250,-74.009106
162,335,Washington Pl & Broadway,40.729039,-73.994046
163,462,W 22 St & 10 Ave,40.746920,-74.004519
164,313,Washington Ave & Park Ave,40.696102,-73.967510
165,444,Broadway & W 24 St,40.742354,-73.989151
166,504,1 Ave & E 16 St,40.732219,-73.981656
167,3472,W 15 St & 10 Ave,40.742754,-74.007474
168,3189,West Side Light Rail,40.714402,-74.088772
169,448,W 37 St & 10 Ave,40.756604,-73.997901
170,297,E 15 St & 3 Ave,40.734232,-73.986923
171,446,W 24 St & 7 Ave,40.744876,-73.995299
172,3279,Dixon Mills,40.721630,-74.049968
173,363,West Thames St,40.708347,-74.017134
174,466,W 25 St & 6 Ave,40.743954,-73.991449
175,3183,Exchange Place,40.716247,-74.033459
176,3709,W 15 St & 6 Ave,40.738046,-73.996430
177,3233,E 48 St & 5 Ave,40.757246,-73.978059
178,380,W 4 St & 7 Ave S,40.734011,-74.002939
179,3280,Astor Place,40.719282,-74.071262
180,3202,Newport PATH,40.727224,-74.033759
181,306,Cliff St & Fulton St_1,40.708235,-74.005301
182,225,W 14 St & The High Line,40.741951,-74.008030
183,472,E 32 St & Park Ave,40.745712,-73.981948
184,3224,W 13 St & Hudson St,40.739974,-74.005139
185,383,Greenwich Ave & Charles St,40.735238,-74.000271
186,428,E 3 St & 1 Ave,40.724677,-73.987834
187,514,12 Ave & W 40 St,40.760875,-74.002777
188,3185,City Hall,40.717733,-74.043845
189,427,Bus Slip & State St,40.701907,-74.013942
190,3216,Columbia Park,40.697030,-74.096937
191,3190,Garfield Ave Station,40.710467,-74.070039
192,3213,Van Vorst Park,40.718489,-74.047727
193,3694,Jackson Square,40.711130,-74.078900
194,3220,5 Corners Library,40.734961,-74.059503
195,3161,W 76 St & Columbus Ave,40.780184,-73.977285
